word,entry_start_year,best_rank,models,example_context
macro,1933,1,talkie-base,"The forms and methods of economic management, both micro and macro"
aerospace,1955,2,talkie-base,The use of acoustic energy to perform all those functions in hydrospace for which electromagnetic energy is employed in aerospace
sexist,1949,2,talkie-base,Apparently anyone who believes in genetic racial differences is a ‘racist’... I suppose by analogy that anyone who believes in genetic sex differences is a ‘ sexist
cholinergic,1934,4,talkie-base,"We seem to need words which will briefly indicate action by two kinds of chemical transmission, due in the one case to some substance like adrenaline, in the other case to a substance like acetylcholine, so that we may distinguish between chemical function and anatomical origin. I suggest the words ‘adrenergic’ and ‘ cholinergic"
networking,1940,24,talkie-base,"‘Network’ is a noun referring to entire social or family network as the unit of intervention... The techniques..described by Speck and Attneave..are those of assembling the social network, which they prefer to call a process of retribalization rather than ‘ networking"
cd,1950,30,talkie-base,"It is recommended that the new unit for luminous intensity (which is such that the luminance or photometric brightness of a black body at the temperature of freezing platinum equals 60 units of intensity per square centimetre) shall be called in all countries by the Latin name ‘candela’, with the symbol ‘ cd"
positron,1933,36,talkie-base,"The unit of heavy hydrogen, the deuteron, or deuton, as it has been called, bids fair to rival in interest its recently found cousins, the neutron and positron"
med,1931,39,talkie-base,I want to study psychiatry when I get through med
synthase,1954,61,talkie-base,This paper describes an enzyme system synthesizing threonine from homoserine; we have called it threonine synthase
multi,1986,64,talkie-base,"The Calgary Region Home Builders Association forecast calls for 6,503 singles and 3,067 multis"
exciton,1936,86,talkie-base,"Just as the positive hole can be pictured as a collectivized positron, the excited state can be pictured as a kind of particle which we shall call a (collectivized) exciton"
